neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
21,0,1,5,293,110
1,1,2,13,292,260
81,0,1,8,162,40
70,0,3,13,90,52
5,1,2,327,153,243
2,1,1,7,249,250
7,0,7,47,338,120
34,0,1,17,342,139
7,0,7,47,271,100
160,2,4,7,365,30
21,0,2,5,358,63
6,0,4,6,113,72
144,0,3,8,170,39
7,0,1,5,0,86
7,0,1,11,245,155
19,0,1,7,350,120
43,1,2,327,309,234
21,0,1,6,103,69
25,2,2,5,90,48
2,0,5,8,345,215
83,0,2,6,64,45
6,0,2,34,330,55
6,0,2,34,282,65
100,0,1,5,365,100
30,1,1,5,324,174
21,0,2,5,202,50
37,0,5,12,174,60
37,0,1,6,362,59
15,1,3,9,72,199
20,0,3,13,74,189
4,0,1,10,347,45
2,0,4,8,340,75
124,0,1,5,0,50
20,0,1,7,59,102
89,2,2,7,37,75
30,0,3,5,18,79
54,0,7,9,346,40
172,0,2,5,355,55
71,0,1,15,359,300
71,0,1,15,351,100
2,0,1,9,260,70
101,0,1,7,360,100
70,1,3,8,356,85
124,0,1,7,180,53
21,0,2,10,356,65
1,0,1,10,327,350
5,1,2,327,62,263
43,1,2,327,315,244
49,0,1,8,296,45
69,0,1,5,57,142
71,0,1,13,344,100
30,1,1,5,364,750
6,2,3,34,365,38
43,1,2,327,348,228
10,1,2,5,152,179
6,2,1,17,89,35
15,0,2,5,0,29
25,1,2,5,163,134
100,0,5,5,322,37
20,1,1,6,0,100
100,0,5,5,353,37
1,1,2,13,283,220
58,0,2,13,365,68
43,1,2,327,338,203
7,0,1,11,243,155
103,0,1,5,89,35
21,2,4,5,80,25
46,0,2,7,0,59
12,0,1,7,31,60
43,1,2,327,294,503
25,0,1,6,321,84
1,0,1,8,318,100
111,0,1,6,358,55
7,1,1,5,365,240
71,0,1,15,232,100
22,0,2,6,85,68
15,0,1,12,63,64
43,1,2,327,322,203
81,0,2,6,280,289
70,0,1,5,62,50
1,1,3,49,249,737
12,0,5,6,185,140
4,1,2,6,173,500
6,2,1,17,77,35
6,0,2,5,167,58
49,0,2,8,279,40
12,0,4,5,0,88
14,0,1,12,362,85
46,2,1,8,320,39
103,0,1,5,89,45
70,0,3,8,341,75
46,0,2,7,0,50
37,1,6,7,322,138
5,1,2,327,137,245
43,1,2,327,272,470
81,0,1,7,57,55
126,0,2,6,79,65
7,0,1,30,324,199
87,0,1,10,120,55
152,1,1,7,160,175
1,0,2,11,162,590
37,0,1,6,339,45
63,0,1,5,281,55
7,0,1,10,343,166
6,0,2,7,316,110
30,1,2,5,39,595
2,0,1,6,45,99
2,0,2,11,180,69
112,0,7,5,148,65
60,0,1,5,0,119
39,0,1,8,275,129
43,1,2,327,347,231
94,0,1,9,357,50
7,0,1,30,363,299
1,1,1,17,218,137
6,0,3,5,110,60
7,2,1,9,348,60
6,0,2,10,326,55
34,0,1,17,354,119
4,1,1,5,102,165
4,0,2,6,0,90
8,0,15,12,153,70
43,1,2,327,271,201
20,2,2,5,274,35
4,0,2,5,63,70
15,0,1,12,68,52
1,1,1,17,208,107
43,1,1,8,325,309
43,1,2,327,333,201
